"timestamp","game","players","kills","headshots","servers","act_slots","max_slots"
1704559226,tf,87293,1476325,89873,5,5,125
1704559228,tf,87293,1476325,89873,5,5,125
1704559202,tf,87293,1476325,89873,5,5,125
1704558978,tf,87293,1476325,89873,5,4,125
1704558928,tf,87293,1476325,89873,5,5,125
1704558926,tf,87293,1476325,89873,5,5,125
1704558925,tf,87293,1476325,89873,5,4,125
1704558902,tf,87293,1476325,89873,5,5,125
1704558677,tf,87293,1476325,89873,5,4,125
1704558601,tf,87293,1476325,89873,5,5,125
1704558377,tf,87293,1476325,89873,5,5,125
1704558327,tf,87293,1476325,89873,5,3,125
1704558325,tf,87293,1476325,89873,5,3,125
1704558316,tf,87293,1476325,89873,5,3,125
1704558300,tf,87293,1476325,89873,5,5,125
1704558076,tf,87293,1476325,89873,5,5,125
1704558024,tf,87293,1476325,89873,5,3,125
1704558023,tf,87293,1476325,89873,5,3,125
1704558015,tf,87293,1476325,89873,5,3,125
1704558000,tf,87293,1476325,89873,5,5,125
1704557775,tf,87293,1476325,89873,5,5,125
1704557723,tf,87293,1476325,89873,5,4,125
1704557719,tf,87293,1476325,89873,5,3,125
1704557714,tf,87293,1476325,89873,5,3,125
1704557699,tf,87293,1476325,89873,5,4,125
1704557475,tf,87293,1476325,89873,5,4,125
1704557413,tf,87293,1476325,89873,5,3,125
1704557413,tf,87293,1476325,89873,5,4,125
1704557412,tf,87293,1476325,89873,5,4,125
1704557398,tf,87293,1476325,89873,5,5,125
1704557174,tf,87293,1476325,89873,5,5,125
1704557112,tf,87293,1476325,89873,5,4,125
1704557111,tf,87293,1476325,89873,5,4,125
1704557111,tf,87293,1476325,89873,5,4,125
1704557097,tf,87293,1476325,89873,5,5,125
1704556873,tf,87293,1476325,89873,5,3,125
1704556796,tf,87293,1476325,89873,5,2,125
1704556592,tf,87293,1476325,89873,5,4,125
1704556573,tf,87293,1476325,89873,5,2,125
1704556527,tf,87293,1476325,89873,5,3,125
1704556524,tf,87293,1476325,89873,5,3,125
1704556495,tf,87293,1476325,89873,5,4,125
1704556272,tf,87293,1476325,89873,5,2,125
1704556224,tf,87293,1476325,89873,5,3,125
1704556222,tf,87293,1476325,89873,5,5,125
1704556222,tf,87293,1476325,89873,5,5,125
1704556194,tf,87293,1476325,89873,5,4,125
1704555971,tf,87293,1476325,89873,5,5,125
1704555923,tf,87293,1476325,89873,5,2,125
1704555921,tf,87293,1476325,89873,5,2,125
1704555921,tf,87293,1476325,89873,5,3,125
1704555894,tf,87293,1476325,89873,5,4,125
1704555671,tf,87293,1476325,89873,5,3,125
1704555622,tf,87293,1476325,89873,5,5,125
1704555621,tf,87293,1476325,89873,5,5,125
1704555621,tf,87293,1476325,89873,5,5,125
1704555593,tf,87293,1476325,89873,5,3,125
1704555370,tf,87293,1476325,89873,5,3,125
1704555321,tf,87293,1476325,89873,5,4,125
1704555320,tf,87293,1476325,89873,5,4,125
1704555320,tf,87293,1476325,89873,5,4,125
1704555292,tf,87293,1476325,89873,5,3,125
1704555069,tf,87293,1476325,89873,5,4,125
1704554992,tf,87293,1476325,89873,5,3,125
1704554769,tf,87293,1476325,89873,5,3,125
1704554746,tf,87293,1476325,89873,5,3,125
1704554729,tf,87293,1476325,89873,5,4,125
1704554722,tf,87293,1476325,89873,5,4,125
1704554691,tf,87293,1476325,89873,5,4,125
1704554468,tf,87293,1476325,89873,5,3,125
1704554445,tf,87293,1476325,89873,5,4,125
1704554429,tf,87293,1476325,89873,5,4,125
1704554422,tf,87293,1476325,89873,5,4,125
1704554390,tf,87293,1476325,89873,5,4,125
1704554167,tf,87293,1476325,89873,5,4,125
1704554128,tf,87293,1476325,89873,5,3,125
1704554121,tf,87293,1476325,89873,5,1,125
1704554120,tf,87293,1476325,89873,5,1,125
1704554090,tf,87293,1476325,89873,5,4,125
1704553867,tf,87293,1476325,89873,5,2,125
1704553827,tf,87293,1476325,89873,5,1,125
1704553820,tf,87293,1476325,89873,5,1,125
1704553820,tf,87293,1476325,89873,5,1,125
1704553789,tf,87293,1476325,89873,5,1,125
1704553566,tf,87293,1476325,89873,5,4,125
1704553519,tf,87293,1476325,89873,5,4,125
1704553520,tf,87293,1476325,89873,5,4,125
1704553518,tf,87293,1476325,89873,5,4,125
1704553489,tf,87293,1476325,89873,5,1,125
1704553265,tf,87293,1476325,89873,5,2,125
1704553188,tf,87293,1476325,89873,5,3,125
1704553036,tf,87293,1476325,89873,5,1,125
1704552965,tf,87293,1476325,89873,5,2,125
1704552934,tf,87293,1476325,89873,5,2,125
1704552924,tf,87293,1476325,89873,5,2,125
1704552887,tf,87293,1476325,89873,5,4,125
1704552666,tf,87293,1476325,89873,5,1,125
1704552664,tf,87293,1476325,89873,5,1,125
1704552627,tf,87293,1476325,89873,5,5,125
1704552624,tf,87293,1476325,89873,5,5,125
1704552587,tf,87293,1476325,89873,5,3,125
1704552365,tf,87293,1476325,89873,5,4,125
1704552363,tf,87293,1476325,89873,5,4,125
1704552326,tf,87293,1476325,89873,5,4,125
1704552323,tf,87293,1476325,89873,5,4,125
1704552286,tf,87293,1476325,89873,5,3,125
1704552065,tf,87293,1476325,89873,5,4,125
1704552063,tf,87293,1476325,89873,5,4,125
1704552025,tf,87293,1476325,89873,5,4,125
1704552022,tf,87293,1476325,89873,5,4,125
1704551985,tf,87293,1476325,89873,5,2,125
1704551765,tf,87293,1476325,89873,5,2,125
1704551762,tf,87293,1476325,89873,5,3,125
1704551724,tf,87293,1476325,89873,5,4,125
1704551722,tf,87293,1476325,89873,5,4,125
1704551684,tf,87293,1476325,89873,5,3,125
1704551461,tf,87293,1476325,89873,5,4,125
1704551384,tf,87293,1476325,89873,5,3,125
1704551253,tf,87293,1476325,89873,5,3,125
1704551161,tf,87293,1476325,89873,5,4,125
1704551116,tf,87293,1476325,89873,5,5,125
1704551113,tf,87293,1476325,89873,5,5,125
1704551083,tf,87293,1476325,89873,5,4,125
1704550950,tf,87293,1476325,89873,5,3,125
1704550860,tf,87293,1476325,89873,5,4,125
1704550816,tf,87293,1476325,89873,5,4,125
1704550812,tf,87293,1476325,89873,5,5,125
1704550783,tf,87293,1476325,89873,5,4,125
1704550595,tf,87293,1476325,89873,5,3,125
1704550559,tf,87293,1476325,89873,5,3,125
1704550515,tf,87293,1476325,89873,5,5,125
1704550512,tf,87293,1476325,89873,5,5,125
1704550482,tf,87293,1476325,89873,5,3,125
1704550277,tf,87293,1476325,89873,5,3,125
1704550259,tf,87293,1476325,89873,5,2,125
1704550214,tf,87293,1476325,89873,5,3,125
1704550212,tf,87293,1476325,89873,5,3,125
1704550181,tf,87293,1476325,89873,5,3,125
1704549958,tf,87293,1476325,89873,5,4,125
1704549913,tf,87293,1476325,89873,5,2,125
1704549913,tf,87293,1476325,89873,5,2,125
1704549912,tf,87293,1476325,89873,5,2,125
1704549881,tf,87293,1476325,89873,5,3,125
1704549657,tf,87293,1476325,89873,5,3,125
1704549580,tf,87293,1476325,89873,5,4,125
1704549525,tf,87293,1476325,89873,5,3,125
1704549357,tf,87293,1476325,89873,5,1,125
1704549323,tf,87293,1476325,89873,5,4,125
1704549320,tf,87293,1476325,89873,5,4,125
1704549279,tf,87293,1476325,89873,5,4,125
1704549208,tf,87293,1476325,89873,5,6,125
1704549056,tf,87293,1476325,89873,5,5,125
1704549022,tf,87293,1476325,89873,5,6,125
1704549020,tf,87293,1476325,89873,5,6,125
1704548979,tf,87293,1476325,89873,5,5,125
1704548908,tf,87293,1476325,89873,5,4,125
1704548755,tf,87293,1476325,89873,5,6,125
1704548722,tf,87293,1476325,89873,5,7,125
1704548719,tf,87293,1476325,89873,5,7,125
1704548678,tf,87293,1476325,89873,5,4,125
1704548550,tf,87293,1476325,89873,5,3,125
1704548455,tf,87291,1476325,89873,5,3,125
1704548421,tf,87291,1476325,89873,5,3,125
1704548418,tf,87291,1476325,89873,5,3,125
1704548377,tf,87291,1476325,89873,5,5,125
1704548154,tf,87291,1476325,89873,5,4,125
1704548131,tf,87291,1476325,89873,5,3,125
1704548118,tf,87291,1476325,89873,5,3,125
1704548119,tf,87291,1476325,89873,5,4,125
1704548077,tf,87291,1476325,89873,5,4,125
1704547853,tf,87291,1476325,89873,5,4,125
1704547776,tf,87291,1476325,89873,5,4,125
1704547553,tf,87291,1476325,89873,5,5,125
1704547542,tf,87291,1476325,89873,5,4,125
1704547540,tf,87291,1476325,89873,5,4,125
1704547523,tf,87291,1476325,89873,5,3,125
1704547476,tf,87291,1476325,89873,5,3,125
1704547252,tf,87291,1476325,89873,5,4,125
1704547237,tf,87291,1476325,89873,5,4,125
1704547233,tf,87291,1476325,89873,5,4,125
1704547222,tf,87291,1476325,89873,5,4,125
1704547175,tf,87291,1476325,89873,5,4,125
1704546951,tf,87291,1476325,89873,5,5,125
1704546935,tf,87291,1476325,89873,5,5,125
1704546932,tf,87291,1476325,89873,5,4,125
1704546922,tf,87291,1476325,89873,5,4,125
1704546874,tf,87291,1476325,89873,5,4,125
1704546651,tf,87291,1476325,89873,5,4,125
1704546632,tf,87291,1476325,89873,5,2,125
1704546632,tf,87291,1476325,89873,5,2,125
1704546621,tf,87291,1476325,89873,5,3,125
1704546574,tf,87291,1476325,89873,5,4,125
1704546350,tf,87291,1476325,89873,5,4,125
1704546320,tf,87291,1476325,89873,5,4,125
1704546321,tf,87291,1476325,89873,5,5,125
1704546320,tf,87291,1476325,89873,5,5,125
1704546273,tf,87291,1476325,89873,5,2,125
1704546049,tf,87291,1476325,89873,5,5,125
1704545972,tf,87291,1476325,89873,5,1,125
1704545768,tf,87291,1476325,89873,5,5,125
1704545765,tf,87291,1476325,89873,5,5,125
1704545749,tf,87291,1476325,89873,5,4,125
1704545724,tf,87291,1476325,89873,5,2,125
1704545672,tf,87291,1476325,89873,5,3,125
1704545467,tf,87291,1476325,89873,5,4,125
1704545464,tf,87291,1476325,89873,5,4,125
1704545448,tf,87291,1476325,89873,5,3,125
1704545424,tf,87291,1476325,89873,5,4,125
1704545371,tf,87291,1476325,89873,5,4,125
1704545167,tf,87291,1476325,89873,5,5,125
1704545163,tf,87291,1476325,89873,5,5,125
1704545147,tf,87291,1476325,89873,5,2,125
1704545123,tf,87291,1476325,89873,5,4,125
1704545070,tf,87291,1476325,89873,5,3,125
1704544866,tf,87291,1476325,89873,5,3,125
1704544863,tf,87291,1476325,89873,5,3,125
1704544845,tf,87291,1476325,89873,5,3,125
1704544769,tf,87291,1476325,89873,5,3,125
1704544823,tf,87291,1476325,89873,5,3,125
1704544544,tf,87291,1476325,89873,5,2,125
1704544539,tf,87291,1476325,89873,5,4,125
1704544522,tf,87291,1476325,89873,5,4,125
1704544522,tf,87291,1476325,89873,5,4,125
1704544468,tf,87291,1476325,89873,5,3,125
1704544243,tf,87291,1476325,89873,5,4,125
1704544167,tf,87291,1476325,89873,5,4,125
1704543943,tf,87291,1476325,89873,5,5,125
1704543914,tf,87291,1476325,89873,5,5,125
1704543913,tf,87291,1476325,89873,5,5,125
1704543912,tf,87291,1476325,89873,5,5,125
1704543867,tf,87291,1476325,89873,5,5,125
1704543642,tf,87291,1476325,89873,5,5,125
1704543613,tf,87291,1476325,89873,5,4,125
1704543612,tf,87291,1476325,89873,5,4,125
1704543612,tf,87291,1476325,89873,5,4,125
1704543566,tf,87291,1476325,89873,5,5,125
1704543341,tf,87291,1476325,89873,5,5,125
1704543312,tf,87291,1476325,89873,5,5,125
1704543312,tf,87291,1476325,89873,5,5,125
1704543312,tf,87291,1476325,89873,5,5,125
1704543265,tf,87291,1476325,89873,5,5,125
1704543041,tf,87291,1476325,89873,5,4,125
1704543012,tf,87291,1476325,89873,5,5,125
1704543011,tf,87291,1476325,89873,5,5,125
1704543011,tf,87291,1476325,89873,5,5,125
1704542965,tf,87291,1476325,89873,5,4,125
