"playerId","ribbonId","game"
67668,1804,tf
59359,1804,tf
56857,1804,tf
44766,1804,tf
27950,1804,tf
25413,1804,tf
12279,1804,tf
9434,1804,tf
3288,1804,tf
562,1804,tf
223,1804,tf
201,1804,tf
2,1804,tf
44766,1803,tf
11529,1803,tf
71017,1802,tf
44766,1802,tf
11529,1802,tf
9434,1802,tf
223,1802,tf
2,1802,tf
81665,1801,tf
78412,1801,tf
71017,1801,tf
70988,1801,tf
67668,1801,tf
44766,1801,tf
12279,1801,tf
11529,1801,tf
9434,1801,tf
562,1801,tf
256,1801,tf
223,1801,tf
2,1801,tf
9434,1800,tf
9434,1799,tf
74104,1798,tf
70988,1798,tf
67668,1798,tf
56857,1798,tf
49173,1798,tf
25413,1798,tf
12279,1798,tf
11529,1798,tf
9434,1798,tf
562,1798,tf
225,1798,tf
2,1798,tf
71017,1807,tf
70988,1807,tf
70739,1807,tf
70657,1807,tf
59359,1807,tf
56857,1807,tf
9434,1807,tf
3288,1807,tf
225,1807,tf
223,1807,tf
201,1807,tf
2,1807,tf
70739,1808,tf
225,1808,tf
223,1808,tf
225,1809,tf
223,1809,tf
78482,1810,tf
71017,1810,tf
70988,1810,tf
70657,1810,tf
67668,1810,tf
49173,1810,tf
9434,1810,tf
3288,1810,tf
223,1810,tf
201,1810,tf
2,1810,tf
67668,1811,tf
3288,1811,tf
223,1811,tf
201,1811,tf
2,1811,tf
3288,1812,tf
223,1812,tf
201,1812,tf
2,1812,tf
12279,1813,tf
9844,1813,tf
256,1813,tf
223,1813,tf
201,1813,tf
198,1813,tf
2,1813,tf
256,1814,tf
223,1814,tf
201,1814,tf
256,1815,tf
223,1815,tf
44766,1816,tf
81665,1819,tf
78482,1819,tf
78412,1819,tf
74104,1819,tf
71017,1819,tf
70988,1819,tf
70739,1819,tf
70657,1819,tf
59359,1819,tf
56857,1819,tf
49173,1819,tf
44766,1819,tf
27950,1819,tf
11529,1819,tf
9844,1819,tf
9434,1819,tf
3288,1819,tf
562,1819,tf
225,1819,tf
223,1819,tf
201,1819,tf
2,1819,tf
74104,1820,tf
70988,1820,tf
70739,1820,tf
44766,1820,tf
11529,1820,tf
9844,1820,tf
223,1820,tf
70739,1821,tf
11529,1821,tf
9844,1821,tf
223,1821,tf
78412,1822,tf
74104,1822,tf
70988,1822,tf
70657,1822,tf
67668,1822,tf
56857,1822,tf
44766,1822,tf
12279,1822,tf
11529,1822,tf
9434,1822,tf
256,1822,tf
223,1822,tf
201,1822,tf
2,1822,tf
9434,1823,tf
223,1823,tf
201,1823,tf
2,1823,tf
9434,1824,tf
223,1824,tf
78482,1825,tf
74104,1825,tf
